id,reviewer,rating,text
,,5,여기 저희집근처라 자주가는데 분위기도 좋고 괜찮습니다 지금 특정 정신병집단에서 알바에 채용하지않았다고 해서 리뷰테러를 하는데 무시하셔도 됩니다.
ChZDSUhNMG9nS0VJQ0FnSUNLd0tHMkt3EAE,Kid -O,5,"자영업자로서, 가게에 해가될 사람을 알아보고 거르는건 참 훌륭한 능력이라 생각하네요. 혹시 리뷰에 인생이 실전인지도 모르고 선넘는 사회악인 그 사람들이 보인다면 꼭 법적 처벌로 인생을 알게해주세요"
,Kid -O,,
,,5,"자영업자로서, 가게에 해가될 사람을 알아보고 거르는건 참 훌륭한 능력이라 생각하네요. 혹시 리뷰에 인생이 실전인지도 모르고 선넘는 사회악인 그 사람들이 보인다면 꼭 법적 처벌로 인생을 알게해주세요"
ChdDSUhNMG9nS0VJQ0FnSUNLd0pYNWd3RRAB,윤민,1,커피에 먼지떠있었던 기분 나쁜 곳.. 사장이 꽉 막히게 생겨서 걍 안마시고 나왔는데 전반적인 위생상태도 그렇고..먼지가 많고 더러워요. 제가 집먼지알러지가 있는데 코 간지럽고 눈아팠거든요. 그리고 가격 대비 맛이 진짜 없었어요.
,윤민,,
,,1,커피에 먼지떠있었던 기분 나쁜 곳.. 사장이 꽉 막히게 생겨서 걍 안마시고 나왔는데 전반적인 위생상태도 그렇고..먼지가 많고 더러워요. 제가 집먼지알러지가 있는데 코 간지럽고 눈아팠거든요. 그리고 가격 대비 맛이 진짜 없었어요.
ChdDSUhNMG9nS0VJQ0FnSUNLd05idXFBRRAB,Jay Classic,5,여자친구랑 갔었는데 사장님이 엄청 친절하게 응대해주셨었어요..;; 여혐카페라니 가당치도 않습니다...  요즘 사람들이 예민하고 남녀분쟁이 끊이질 않는건 알지만 심각하네요 진심으로...
,Jay Classic,,
,,5,여자친구랑 갔었는데 사장님이 엄청 친절하게 응대해주셨었어요..;; 여혐카페라니 가당치도 않습니다...  요즘 사람들이 예민하고 남녀분쟁이 끊이질 않는건 알지만 심각하네요 진심으로...
ChZDSUhNMG9nS0VJQ0FnSUNLb0x6elNnEAE,유수연,1,"한남들의 5점 주기 운동으로 등극한 도태 맛집!  사상 썩은 사장과 끼리끼리 한남손님 드글거리는 카페에서 커피 맛 뚝뚝 떨어뜨려가며 굳이 아까운 시간, 돈 쓰고 싶은 분들 추천드려요!…"
,유수연,,
,,1,"한남들의 5점 주기 운동으로 등극한 도태 맛집!  사상 썩은 사장과 끼리끼리 한남손님 드글거리는 카페에서 커피 맛 뚝뚝 떨어뜨려가며 굳이 아까운 시간, 돈 쓰고 싶은 분들 추천드려요!…"
ChdDSUhNMG9nS0VJQ0FnSUNLX2VEOTFnRRAB,짱가,5,사장님 커피맛도 좋고 서비스 !! 정말 고생많으십니다 앞으로 다 잘될겁니다 멧돼지들이 휘져어 논듯 별수잇겠습니까 ! 항상 힘내세요!
,짱가,,
,,5,사장님 커피맛도 좋고 서비스 !! 정말 고생많으십니다 앞으로 다 잘될겁니다 멧돼지들이 휘져어 논듯 별수잇겠습니까 ! 항상 힘내세요!
ChZDSUhNMG9nS0VJQ0FnSUNLd0tIUlNBEAE,김동주,5,알바생도 이쁘고 잘생기셔가지구 발걸음이 끊이지않네요.. 알바하시는분들 인성도좋고.. 맛도 맛이지만 알바생들의 서비스에 반해서 자주가요!!^_^ 요즘 막 이상한분들 카페알바 지원하던데 ㅎㅎ 그런분들 거르고 좋은 알바생 뽑으신거같아서 다행이에용😝
,김동주,,
,,5,알바생도 이쁘고 잘생기셔가지구 발걸음이 끊이지않네요.. 알바하시는분들 인성도좋고.. 맛도 맛이지만 알바생들의 서비스에 반해서 자주가요!!^_^ 요즘 막 이상한분들 카페알바 지원하던데 ㅎㅎ 그런분들 거르고 좋은 알바생 뽑으신거같아서 다행이에용😝
ChdDSUhNMG9nS0VJQ0FnSURLN2VMaGdBRRAB,홍주현,5,뒤늦게 소식 듣고 일단 별점 먼저 주러 옴 그 사건 만으로도 얼마나 올바르고 깨어있는 분인지 느껴지네요. 살면서 일산 가본적도 없지만 여기 만큼은 돈쭐 내주러 시간 내서 꼭 가겠습니다. 대충 NO페미라떼 같은 이름으로 10만원짜리 메뉴 만들어두세용 꼭 사먹으러 가게씀>_<ㅋㅋㅋ
,홍주현,,
